001	16/02/2026	GANT NEREA	Bodega General 6	C-127915	RE-5666	20/02/2026 14:51	20/02/2026 15:04	Cemento portland	16	0	BB	23865	Elemento
002	16/02/2026	GANT NEREA	Bodega General 6	C-130346	RE-5811	16/02/2026 15:45	16/02/2026 15:52	Cemento portland	16	0	BB	24020	Elemento
003	16/02/2026	GANT NEREA	Bodega General 6	C-138333	RE-4667	16/02/2026 15:56	16/02/2026 16:02	Cemento portland	16	0	BB	24145	Elemento
004	16/02/2026	GANT NEREA	Bodega General 6	C-80307	RE-4840	16/02/2026 15:45	16/02/2026 15:54	Cemento portland	16	1	BB	24030	Elemento
005	16/02/2026	GANT NEREA	Bodega General 6	C-131183	RE-18478	16/02/2026 15:56	16/02/2026 16:02	Cemento portland	16	0	BB	24065	Elemento
006	16/02/2026	GANT NEREA	Bodega General 6	C-119910	RE-2813	16/02/2026 16:30	16/02/2026 16:36	Cemento portland	16	0	BB	23930	Elemento
007	16/02/2026	GANT NEREA	Bodega General 6	C-114825	RE-8879	16/02/2026 16:40	16/02/2026 16:48	Cemento portland	16	0	BB	24060	Elemento
008	16/02/2026	GANT NEREA	Bodega General 6	C-124370	RE-6893	16/02/2026 16:50	16/02/2026 16:57	Cemento portland	16	0	BB	24040	Elemento
009	16/02/2026	GANT NEREA	Bodega General 6	C-127350	RE-1597	16/02/2026 17:10	16/02/2026 17:16	Cemento portland	16	1	BB	24125	Elemento
010	16/02/2026	GANT NEREA	Bodega General 6	C-127915	RE-5666	16/02/2026 17:22	16/02/2026 17:29	Cemento portland	16	0	BB	23965	Elemento
011	16/02/2026	GANT NEREA	Bodega General 6	C-130346	RE-5811	16/02/2026 17:26	16/02/2026 17:31	Cemento portland	16	0	BB	23845	Elemento
012	16/02/2026	GANT NEREA	Bodega General 6	C-138333	RE-4667	16/02/2026 17:42	16/02/2026 17:53	Cemento portland	16	2	BB	23830	Elemento
013	16/02/2026	GANT NEREA	Bodega General 6	C-80307	RE-4840	16/02/2026 17:56	16/02/2026 18:03	Cemento portland	16	0	BB	24015	Elemento
014	16/02/2026	GANT NEREA	Bodega General 6	C-78800	RE-5368	16/02/2026 18:05	16/02/2026 18:11	Cemento portland	16	0	BB	23880	Elemento
015	16/02/2026	GANT NEREA	Bodega General 6	C-129331	RE-4372	16/02/2026 18:13	16/02/2026 18:17	Cemento portland	16	0	BB	23905	Elemento
016	16/02/2026	GANT NEREA	Bodega General 6	C-134691	RE-1134	16/02/2026 18:22	16/02/2026 18:28	Cemento portland	16	1	BB	23965	Elemento
017	16/02/2026	GANT NEREA	Bodega General 6	C-131183	RE-18478	16/02/2026 18:31	16/02/2026 18:36	Cemento portland	16	0	BB	24180	Elemento
018	16/02/2026	GANT NEREA	Bodega General 6	C-115883	RE-21098	16/02/2026 18:39	16/02/2026 18:44	Cemento portland	16	0	BB	24420	Elemento
019	16/02/2026	GANT NEREA	Bodega General 6	C-119910	RE-2813	16/02/2026 18:47	16/02/2026 18:54	Cemento portland	16	0	BB	23760	Elemento
020	16/02/2026	GANT NEREA	Bodega General 6	C-114825	RE-8879	16/02/2026 19:44	16/02/2026 19:52	Cemento portland	16	1	BB	23725	Elemento
021	16/02/2026	GANT NEREA	Bodega General 6	C-117956	RE-6237	16/02/2026 19:59	16/02/2026 20:06	Cemento portland	16	0	BB	23970	Elemento
022	16/02/2026	GANT NEREA	Bodega General 6	C-100269	RE-16458	16/02/2026 20:08	16/02/2026 20:13	Cemento portland	16	0	BB	23770	Elemento
023	16/02/2026	GANT NEREA	Bodega General 6	C-111665	RE-10527	16/02/2026 20:15	16/02/2026 20:20	Cemento portland	16	0	BB	24055	Elemento
